#name | line_width | line_color | radius | circle_color | birth | death

invisible | 1.0 | white | 0.0001 | #bc5729 | | 
                        Владимир Новгородский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                            Ростислав Галицкий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Рюрик, Перемышль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Володарь Ростиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Ростислав Володаревич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Иван Берладник | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Ростислав Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Владимир Ростиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Ярослав Осмомысл | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Владимир, Галич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Василько Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Владимир Владимирович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Олег Настасьич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Василько, Теребовль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Иван Василькович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Ростислав Василькович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                        Изяслав Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                            Мстислав Новгородский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Ростислав Брестский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                            Святополк, Киев | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Ярослав Волынский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Вячеслав Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Юрий, Туров | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Иван, Туров | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Дети? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Святополк, Пинск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Владимир, Пинск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Ростислав, Пинск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Ярослав, Клецк | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Глеб (Михаил), Дубровица | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Александр (или А. внук Г.?) | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Ярополк, Гродно | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Брячислав Святополчич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Изяслав Святополчич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Мстислав Святополчич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                            Ярополк Волынский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Ярослав Брестский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Вячеслав Ярополчич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                        Святослав Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                            Глеб Новгородский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                            Роман Тмутараканский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                            Давыд Черниговский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Владимир Давыдович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Святослав Вщижский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Изяслав Давыдович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Всеволод Давыдович ? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Святослав Святоша | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Ростислав Давыдович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                            Олег Гориславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Всеволод Ольгович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Святослав Всеволодович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Олег Святославич, Стародуб | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Давыд Олегович, Стародуб | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Владислав Давыдович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Мстислав Давыдович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Константин Давыдович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Константин Олегович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Всеволод Святославич Чёрмный | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            св. Михаил Черниговский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Ростислав, бан Мачвы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Бела, бан Мачвы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Михаил, бан Босны | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Кто-то Асень? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Роман Старый Брянский? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    св. Олег, Брянск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Михаил, Брянск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Александр? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Семён Глуховский? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Роман, Новосиль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Василий Белёвский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Михаил Белёвский? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Лев Воротынский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Василий, Новосиль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Фёдор, Новосиль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Михаил, Воротынск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Иван Воротынский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Владимир Воротынский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Михаил Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Иван Воротынский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Алексей Воротынский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Дмитрий Воротынский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Александр Воротынский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Дмитрий Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Семён Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Юрий Чёрный Одоевский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Иван Одоевский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Фёдор Одоевский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Михаил Одоевский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Василий Кривой Одоевский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Василий Юрьевич? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Фёдор Юрьевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Семён Юрьевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Даниил Романович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Семён Романович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Степан Романович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Мстислав Карачевский? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Тит, Козельск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Святослав Карачевский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Василий Титович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Фёдор Титович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Иван Титович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Святослав Карачевский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Пантелеймон, Звенигород | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Василий Пантелеймонович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Андрей (Андриан), Звенигород | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Фёдор Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Иван Болховский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Юрий Тарусский? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Всеволод Орехва, Тарусский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Семён Конинский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Михаил Мышецкий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Иван Толстая Голова,Волконский? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Фёдор Тарусский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Константин Конинский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Иван Конинский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Фёдор Тарусский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Мстислав Тарусский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Борис Спажский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Михаил Спажский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Константин Юрьевич Оболенский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Семён Оболенский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Иван Оболенский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Никита Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Князья Ноготковы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Князья Курлятевы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Василий Косой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Иван Курля Оболенский? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                   Михаил Курлятев-Оболенский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                   Константин К.-Оболенский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                   Дмитрий Курлятев-Оболенский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Князья Стригины | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Князья Ярославовы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Князья Нагие | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Князья Телепневы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Михаил Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Князья Туренины | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Князья Репнины | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Князья Шафыревы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Владимир Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Князья Лыковы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Князья Кашины | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Князья Пенинские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Семён Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Князья Щепины | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Глеб Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Андрей Оболенский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Князья Долгоруковы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Князья Щербатовы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Князья Тростенские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Андрей, Чернигов? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Владимир Святославич, Вщижск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Глеб Святославич, Чернигов | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Мстислав Глебович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Андрей Мстиславич? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Мстислав, Чернигов | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Ярослав Всеволодович | 1.0 | lightgray | 4.0 | #bc5729 | | 
