#name | line_width | line_color | radius | circle_color | birth | death

invisible | 1.0 | white | 0.0001 | #bc5729 | | 
                                        Мстислав, Волынь | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Роман Мстиславич Галицкий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Даниил Романович Галицкий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Ираклий Даниилович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Лев Даниилович ~1228~1301 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Юрий Белзский ~1252~1308 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Андрей Юрьевич Галицкий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Лев II Юрьевич, †~1323 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Владимир Львович, †1340 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Роман Даниилович, ~1230~1260 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Михаил Романович, Друцк | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Василий Михайлович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Дмитрий Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Василий  | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Андрей † 1399 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Семён Михайлович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Дмитрий †~1399 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Михаил Подберезский † 1399 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Семён †>1422 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Иван Большой Баба ~1400>1436 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Фёдор Бабич  ~1410>1446 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Семён | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Князья Друцкие-Соколинские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Фёдор Конопля  | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Князья Конопли-Соколинские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Иван  | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Князья Друцкие-Озерецкие | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Василий Щербатый | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Иван Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Семён Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Константин Бабич ~1410~1442 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Андрей Прихабский ~1440<1515 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Князья Друцкие-Прихабские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Василий Бабич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Князья Бабичевы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Дмитрий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Василий Бабич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Богдан Бабич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Андрей Бабич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Юрий Бабич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Дмитрий Зубравицкий ~1400>1444 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Василий Красный ~1410~1448 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Иван Красный ~1450>1516 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Дмитрий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Григорий Семёнович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Василий Григорьевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Князья Друцкие-Любецкие | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Михаил Болобан †~1435 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Иван Путята ~1390>1440 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Михаил Путятич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Юрий Шишевский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Василий Толочинский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Василий Путятич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Юрий Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Дмитрий Юрьевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Князья Друцкие-Горские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Дмитрий Путятич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Иван Путятич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Никита | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Князья Путятины | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Иван Киндир, † 1399 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Александр Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Александр Подберезский, † 1399 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Василько Романович Слонимский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Шварн Даниилович Холмский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Мстислав Даниилович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Даниил Мстиславич, † 1280 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Василько Волынский 1203~1269 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Владимир, Волынь ~1250-1288 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Юрий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Всеволод Мстиславич >1155~1195 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Александр, Волынь <1195>1234 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Роман Александрович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Всеволод Червенский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Святослав Мстиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Владимир Мстиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Ярослав Изяславич ~1132>1174 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Игнварь Луцкий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Изяслав Ингваревич, † 1223 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Святослав Ингваревич, † 1223 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Ярослав Ингваревич, †>1229 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Борис Ярославич, род.>1234 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Владимир Ингваревич, †>1229 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Всеволод Дорогобужский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Изяслав Шумский †1195 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Мстислав Немой <1180-1226 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Иван Луцкий † 1227 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Ярополк Шумский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Святополк Мстиславич Новгородский↓? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Ростислав Мстиславич Смоленский↑? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Роман Ростиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Ярополк Романович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Мстислав Романович Старый | 1.0 | lightgray | 4.0 | #bc5729 | ок.1156 | 1223
                                                Святослав Смоленский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Изяслав Мстиславич? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Всеволод, Смоленск <1213-1249 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Ростислав?(возм. сын Мст Давыд.,см.там) | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #Глеб Ростиславич <1249-1278 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #    Александр <1278-1313 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #        Василий, † 1314 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #        Иван Смоленский, <1313-1359 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #            Святослав Иванович↑? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                Глеб Святославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                    Дмитрий Глебович, ум.>1433 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                        Иван Дмитриевич Манько | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                            Михаил Иванович Манчич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                            Иван Иванович Манчич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                        Иван Дмитриевич Шах | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                            Андрей Шахович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                                Князья Соломерецкие | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                            Юрий Коркодын | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                                Князья Коркодыновы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                Юрий Святославич, ум. 1407 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                    Фёдор, ум. 1420 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                Александр Дашек | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                    Князья Дашковы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                Иван Вяземский (Порховский?) | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                    Князья Порховские? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                Василий Святославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                    Дмитрий Васильевич Кропотка | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                        Князья Кропоткины | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #            Василий Селеховский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                Князья Селеховские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #        Василий Брянский, ум. 1314 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #        Дмитрий, ум. 1300 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #    Роман Глебович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #        Дмитрий Романович, ум.>1341 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #    Святослав Глебович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #        Владимир Святославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #            Андрей Долгая Рука | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                Фёдор Вяземский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                    Князья Вяземские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                Василий Вяземский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                    Князья Вяземские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                Иван Вяземский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #        Иван Святославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #        Михаил Святославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #        Глеб Святославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #        Фёдор Святославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #        Юрий Святославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #            Александр Монастырь | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                Князья Монастырёвы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                Князья Мусоргские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                Князья Оладьины | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                Князья Циплятевы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #                Князья Бурухины | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #    Всеволод Глебович, ум.>1314 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #        Князья Всеволожи | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #        Князья Заболотские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #Михаил Ростиславич, ум. 1279 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #Фёдор Ростиславич Чёрный | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #Константин Ростиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #    Фёдор Константинович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    #        Александр Фёдорович Нетша | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Рюрик Ростиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Ростислав Рюрикович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Владимир Рюрикович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Ростислав Владимирович (Овруч) | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Андрей Владимирович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Святослав Ростиславич, Новгород | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Ростислав Святославич? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Давыд Ростиславич, Смоленск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Мстислав Давыдович (старший) | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Изяслав Давыдович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Владимир Давыдович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Константин Давыдович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Юрий Константинович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Мстислав Давыдович (младший) | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Ростислав Мстиславич? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Глеб Ростиславич, Смоленск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Александр Глебович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Василий Александрович | 1.0 | lightgray | 4.0 | #bc5729 | до 1309 | 1314
                                                            Иван Александрович, Смоленск | 1.0 | lightgray | 4.0 | #bc5729 | | 1359
                                                                Святослав Иванович | 1.0 | lightgray | 4.0 | #bc5729 | до 1309 | 1314
                                                                    Глеб Святославич, Смоленск | 1.0 | lightgray | 4.0 | #bc5729 | до 1309 | 1314
                                                                        Дмитрий Глебович | 1.0 | lightgray | 4.0 | #bc5729 | |
                                                                            Князья Жижемские | 1.0 | lightgray | 4.0 | #bc5729 | |
                                                                            Князья Соломерецкие | 1.0 | lightgray | 4.0 | #bc5729 | |
                                                                        Иван Глебович | 1.0 | lightgray | 4.0 | #bc5729 | |
                                                                            Князья Коркодиновы | 1.0 | lightgray | 4.0 | #bc5729 | |
                                                                    Юрий Святославич | 1.0 | lightgray | 4.0 | #bc5729 | |
                                                                        Фёдор Юрьевич | 1.0 | lightgray | 4.0 | #bc5729 | |
                                                                Василий Иванович? | 1.0 | lightgray | 4.0 | #bc5729 | |
                                                            Дмитрий Александрович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Михаил Александрович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Роман Глебович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Дмитрий Романович, Брянск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Василий Романович, Брянск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Святослав Глебович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Глеб Святославич, Брянск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Александр? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Дмитрий Святославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Фёдор Святославич, Дорогобуж | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Юрий Святославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Всеволод Глебович? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Михаил Ростиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Андрей Михайлович, Вязьма | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Фёдор Михайлович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Константин Михайлович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Фёдор Ростиславич Чёрный | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Давид Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Василий Давидович Грозные Очи | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Василий Васильевич, Ярославль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Иван Васильевич Большой, Ярославль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Роман Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Александр Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Василий Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Яков-Воин Иванович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Фёдор Васильевич, Ярославль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Александр Фёдорович Брюхатый | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Даниил Александрович Пенко | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Александр Даниилович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Василий Даниилович Пеньков | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Иван Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Иван Даниилович Хомяк | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Семён Васильевич Новленский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Дмитрий Васильевич Заозерский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Фёдор Дмитриевич Заозерский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Семён Дмитриевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Князья Кубенские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Андрей Дмитриевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Иван-Воин? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Глеб Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Роман Васильевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Михаил Давидович Моложский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Фёдор Михайлович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Дмитрий Фёдорович Перина | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Иван Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Семён Фёдорович Сицкий | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        #КНЯЗЬЯ СИЦКИЕ | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Борис Семёнович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Пётр Семёнович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Фёдор Кривой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Александр Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Семён Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Андрей Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Юрий Фёдорович Большой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Фёдор Фёдорович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Иван Фёдорович Конон | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Юрий Фёдорович Меньшой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Иван Михайлович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Князья Голыгины | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Князья Ушатые | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Князья Шамины | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Князья Шуморовские | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Лев Михайлович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Князья Дуловы | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Константин Фёдорович Улемец | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Константин Ростиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Юрий Ростиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Ростислав Давыдович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Мстислав Ростиславич Храбрый | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Мстислав Мстиславич Удатный | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Василий Мстиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Изяслав Мстиславич? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Семён Мстиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Мстислав Мстиславич? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Ярослав Мстиславич? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Юрий Мстиславич? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Давид Мстиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Владимир Мстиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Ярослав Владимирович, Псков | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Иван Ярославич Великолуцкий  | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Владимир Мстиславич, 1132-1171 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Мстислав, Дорогобуж | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Ярослав, Новгород, <1182>1207 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Изяслав Великолуцкий, † 1198 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Ростислав Ярославич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Святослав Каневский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Ростислав Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Святослав Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Изяслав Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Ярополк Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Василько (?) | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Святослав Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Вячеслав Владимирович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                Юрий Долгорукий | 1.0 | purple | 4.0 | #bc5729 | | 
                                    Ростислав Новгородский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Мстислав Безокий <1160-1178 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Святослав Мстиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Василий Мстиславич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Ярополк, Владимир | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    св. Андрей Боголюбский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Изяслав Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Мстислав Андреевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Юрий, Новгород | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        св. Глеб?1155-1175 | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Иван, Курск | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Глеб, Переяславль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Владимир Глебович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Изяслав Глебович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Борис, Белгород | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Василько, Суздаль | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Мстислав, Новгород | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                        Ярослав Красный | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Ярослав Юрьевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Святослав, Юрьев | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Михаил, Владимир | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                    Всеволод Большое Гнездо | 1.0 | purple | 4.0 | #bc5729 | | 
                                        Константин, Новгород | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                            Василько Ростовский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                Борис, Ростов | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Дмитрий, Ростов | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Александр Дмитриевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                    Константин, Ростов | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Александр Константинович | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                        Василий, Ростов | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                            Фёдор Ростово-Усретинский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                Андрей Ростово-Усретинский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                    Иван Ростово-Усретинский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Юрий Немой | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Семён Юрьевич | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                        Фёдор Голеня | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                            Андрей Голенин-Ростовский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                Иван Голенин-Ростовский | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                    Василий Голенин-Ростовский? | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                       # Пётр | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                       # Фёдор | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                       # Иван Ушатый | 1.0 | lightgray | 4.0 | #bc5729 | | 
                                                                                       # Иван Меньший | 1.0 | lightgray | 4.0 | #bc5729 | | 
